彼此分享喜欢的事情频率,彼此相识时长,表达亲密的形式,浪漫事件发生频率,见对方时的反映,向对方的自我暴露程度,对方向你的自我暴露程度,向对方的诺言兑现率,对方向你的诺言兑现率,是否对未来有规划,彼此联系频率,常用的联系方式,通常单次联系时长,联系的主动性,通常沟通的质量,冲突的处理方式,你对彼此差异的接受程度,对方对彼此差异的接受程度,约会迟到率,生活习惯相似度,三观相似度,你看对方缺点的看法,对方看你缺点的看法,你对对方的容忍程度,对方对你的容忍程度,你提要求的频率,对方提要求的频率,决定权归属,相处时压力值,自尊评分,你对对方依赖程度,对方对你依赖程度,想对方的频率,你换位思考程度,对方换位思考程度,亲密时你的感受,你回复消息情况,对方回复消息情况,对伴侣的满意程度,你安全感程度
较高,一年内,言语交流,每月,害羞紧张,经常表达,偶尔表达,较高,较低,有清晰的规划,每天,文字聊天,几个小时,都主动,促进感情和理解,被动攻击（冷战、不回信息等）,比较能接受,比较能接受,对方经常迟到,比较不相似,比较相似,比较能接受,比较能接受,比较能忍受,比较能忍受,偶尔提,偶尔提,双方交替做决定,偶尔有压力,比较自信,完全依赖,比较不依赖,每天,比较理解,比较不理解,紧张,秒回,隔段时间回,一般情况,比较没有安全感
极低,五年以上,肢体接触,每月,害羞紧张,完全坦诚表达自己,完全不表达,极高,中等,完全没考虑,几乎不,文字聊天,几分钟,我主动,没有影响,不攻击（不会互相指责或伤害）,完全能接受,无所谓,两个人都不怎么迟到,完全不相似,完全不相似,完全能接受,无所谓,完全能忍受,无所谓,偶尔提,偶尔提,基本是对方,一般情况,一般情况,完全不依赖,完全不依赖,每周,一般情况,一般情况,愉悦,偶尔不回,经常不回,比较满意,一般情况
较低,一年内,言语交流,几乎没有,害羞紧张,一般程度表达,完全不表达,极高,中等,比较模糊,每月,文字聊天,半小时,对方主动,没有影响,不攻击（不会互相指责或伤害）,比较能接受,完全能接受,两个人都经常迟到,一般相似,比较不相似,无所谓,比较能接受,完全能忍受,完全能忍受,偶尔提,偶尔提,基本是对方,一般情况,比较自卑,完全不依赖,比较不依赖,每天,一般情况,完全不理解,紧张,总是不回,经常不回,一般情况,比较没有安全感
较低,一年内,肢体接触,每月,害羞紧张,完全坦诚表达自己,偶尔表达,极高,较低,比较模糊,每月,文字聊天,几分钟,我主动,没有影响,被动攻击（冷战、不回信息等）,比较能接受,无所谓,对方经常迟到,一般相似,一般相似,完全能接受,无所谓,完全能忍受,比较不能忍,很少提,经常提,基本是对方,经常有压力,比较自卑,比较依赖,一般情况,每天,完全理解,一般情况,激动,秒回,经常不回,完全满意,非常没有安全感
极低,五年以上,言语交流,几乎没有,害羞紧张,偶尔表达,偶尔表达,较高,极低,完全没考虑,几乎不,文字聊天,一小时,我主动,没有影响,被动攻击（冷战、不回信息等）,比较能接受,比较能接受,两个人都不怎么迟到,一般相似,比较相似,比较能接受,比较能接受,比较能忍受,比较能忍受,很少提,很少提,共同商议决定,一般情况,比较自卑,一般情况,完全不依赖,每天,比较理解,比较理解,紧张,隔段时间回,隔段时间回,比较满意,非常没有安全感
中等,一年到五年,言语交流,每月,害羞紧张,完全坦诚表达自己,完全坦诚表达自己,较高,较高,完全没考虑,每天,文字聊天,几个小时,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,无所谓,无所谓,两个人都不怎么迟到,一般相似,比较相似,无所谓,无所谓,比较能忍受,比较能忍受,偶尔提,偶尔提,共同商议决定,完美没压力,比较自卑,一般情况,一般情况,每天,一般情况,一般情况,愉悦,隔段时间回,隔段时间回,比较满意,非常有安全感
极低,五年以上,言语交流,几乎没有,害羞紧张,经常表达,偶尔表达,极高,较低,完全没考虑,几乎不,文字聊天,一小时,我主动,破坏感情和理解,不攻击（不会互相指责或伤害）,比较能接受,无所谓,两个人都不怎么迟到,比较相似,比较相似,比较能接受,无所谓,比较能忍受,无所谓,几乎不提,几乎不提,基本是对方,总是有压力,非常自卑,完全不依赖,完全不依赖,每天,比较理解,一般情况,紧张,秒回,隔段时间回,比较满意,非常没有安全感
中等,一年内,言语交流,每月,害羞紧张,经常表达,一般程度表达,较高,较高,有清晰的规划,每小时,文字聊天,几个小时,都主动,没有影响,不攻击（不会互相指责或伤害）,完全能接受,完全能接受,两个人都不怎么迟到,完全相似,完全相似,比较能接受,完全能接受,比较能忍受,比较能忍受,几乎不提,几乎不提,基本是对方,一般情况,比较自卑,一般情况,比较不依赖,每天,比较理解,一般情况,轻松惬意,秒回,偶尔不回,比较满意,比较有安全感
极低,五年以上,言语交流,几乎没有,害羞紧张,完全坦诚表达自己,偶尔表达,中等,极低,完全没考虑,几乎不,文字聊天,几个小时,我主动,破坏感情和理解,不攻击（不会互相指责或伤害）,完全能接受,无所谓,两个人都经常迟到,完全不相似,一般相似,无所谓,无所谓,完全能忍受,无所谓,几乎不提,几乎不提,基本是对方,总是有压力,非常自卑,一般情况,完全不依赖,几乎不想,比较不理解,比较不理解,紧张,秒回,隔段时间回,一般情况,比较没有安全感
中等,一年到五年,言语交流,每月,害羞紧张,完全坦诚表达自己,偶尔表达,较高,较高,比较模糊,每月,文字聊天,一小时,我主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,无所谓,两个人都不怎么迟到,一般相似,一般相似,完全能接受,比较不能接受,完全能忍受,比较能忍受,很少提,经常提,双方交替做决定,一般情况,比较自信,一般情况,一般情况,每天,比较理解,一般情况,激动,秒回,隔段时间回,比较满意,比较有安全感
较高,一年到五年,言语交流,每周,害羞紧张,经常表达,经常表达,中等,中等,比较模糊,每天,文字聊天,几个小时,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,完全能接受,完全能接受,两个人都经常迟到,比较不相似,比较相似,完全能接受,无所谓,完全能忍受,完全能忍受,偶尔提,经常提,基本是我,完美没压力,比较自信,一般情况,一般情况,每天,比较理解,比较理解,紧张,隔段时间回,隔段时间回,完全满意,一般情况
极低,一周内,言语交流,几乎没有,害羞紧张,一般程度表达,偶尔表达,极低,中等,完全没考虑,每天,文字聊天,几分钟,对方主动,没有影响,不攻击（不会互相指责或伤害）,无所谓,比较能接受,两个人都不怎么迟到,比较不相似,一般相似,比较不能接受,比较不能接受,无所谓,无所谓,几乎不提,经常提,基本是对方,总是有压力,比较自卑,完全不依赖,完全不依赖,几乎不想,一般情况,一般情况,紧张,偶尔不回,秒回,比较满意,一般情况
较低,五年以上,言语交流,几乎没有,害羞紧张,完全坦诚表达自己,一般程度表达,较高,较高,比较模糊,每月,文字聊天,半小时,我主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,比较能接受,两个人都不怎么迟到,一般相似,一般相似,比较能接受,比较能接受,完全能忍受,比较能忍受,几乎不提,几乎不提,基本是对方,完美没压力,一般情况,一般情况,一般情况,每天,比较理解,比较理解,激动,隔段时间回,偶尔不回,比较满意,一般情况
较低,五年以上,言语交流,几乎没有,害羞紧张,偶尔表达,偶尔表达,较低,极低,完全没考虑,几乎不,文字聊天,半小时,都不主动,没有影响,不攻击（不会互相指责或伤害）,比较不能接受,比较不能接受,两个人都不怎么迟到,完全不相似,比较不相似,比较不能接受,比较能接受,比较能忍受,无所谓,几乎不提,几乎不提,基本是我,完美没压力,非常自信,一般情况,完全不依赖,每分钟,比较理解,完全不理解,激动,隔段时间回,隔段时间回,完全不满意,非常没有安全感
中等,一年内,言语交流,几乎没有,害羞紧张,一般程度表达,经常表达,较高,较高,比较模糊,每天,文字聊天,几分钟,对方主动,没有影响,被动攻击（冷战、不回信息等）,比较能接受,比较能接受,两个人都不怎么迟到,比较不相似,一般相似,比较能接受,比较能接受,比较能忍受,比较能忍受,很少提,偶尔提,共同商议决定,偶尔有压力,一般情况,比较不依赖,比较依赖,几乎不想,一般情况,一般情况,不自在,隔段时间回,隔段时间回,一般情况,一般情况
较高,一年内,言语交流,每月,害羞紧张,一般程度表达,偶尔表达,较高,极高,有清晰的规划,每天,文字聊天,几个小时,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,比较能接受,两个人都不怎么迟到,比较相似,比较相似,比较能接受,比较能接受,比较能忍受,比较能忍受,几乎不提,几乎不提,共同商议决定,经常有压力,比较自卑,一般情况,一般情况,每天,比较理解,比较理解,激动,秒回,隔段时间回,比较满意,比较有安全感
较高,五年以上,言语交流,每月,害羞紧张,完全坦诚表达自己,一般程度表达,较高,较高,有清晰的规划,每天,文字聊天,几分钟,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,完全能接受,完全能接受,两个人都不怎么迟到,一般相似,比较相似,完全能接受,完全能接受,完全能忍受,完全能忍受,很少提,几乎不提,共同商议决定,完美没压力,一般情况,一般情况,比较不依赖,每天,完全理解,比较理解,愉悦,秒回,隔段时间回,完全满意,非常有安全感
极低,一年内,言语交流,每周,害羞紧张,完全坦诚表达自己,经常表达,极高,极高,完全没考虑,每天,文字聊天,几分钟,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,完全能接受,比较能接受,两个人都不怎么迟到,比较不相似,完全相似,完全能接受,完全能接受,完全能忍受,完全能忍受,几乎不提,偶尔提,基本是对方,完美没压力,非常自信,完全依赖,完全依赖,每分钟,完全理解,完全理解,轻松惬意,秒回,隔段时间回,完全满意,非常有安全感
较高,一年到五年,言语交流,每周,害羞紧张,偶尔表达,经常表达,较高,较高,比较模糊,每小时,文字聊天,几个小时,对方主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,比较能接受,对方经常迟到,比较相似,比较相似,比较不能接受,比较能接受,比较不能忍,比较能忍受,偶尔提,经常提,基本是我,完美没压力,比较自信,比较不依赖,比较依赖,每天,比较理解,比较不理解,愉悦,隔段时间回,秒回,比较满意,比较有安全感
较低,一个月内,言语交流,几乎没有,害羞紧张,一般程度表达,一般程度表达,较高,较高,比较模糊,每天,文字聊天,几个小时,我主动,促进感情和理解,不攻击（不会互相指责或伤害）,完全能接受,比较能接受,两个人都不怎么迟到,比较相似,比较相似,比较能接受,比较能接受,比较能忍受,比较能忍受,偶尔提,偶尔提,共同商议决定,偶尔有压力,一般情况,一般情况,比较不依赖,每天,完全理解,完全理解,激动,秒回,隔段时间回,比较满意,一般情况
较高,五年以上,言语交流,几乎没有,害羞紧张,一般程度表达,一般程度表达,中等,中等,比较模糊,每月,文字聊天,几分钟,都主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,比较能接受,两个人都不怎么迟到,一般相似,比较相似,比较能接受,比较能接受,比较能忍受,比较能忍受,几乎不提,几乎不提,共同商议决定,偶尔有压力,非常自卑,比较不依赖,比较不依赖,每周,比较理解,比较理解,紧张,隔段时间回,隔段时间回,比较满意,比较有安全感
极低,一年到五年,言语交流,几乎没有,害羞紧张,偶尔表达,一般程度表达,极高,较低,完全没考虑,每月,文字聊天,几个小时,都不主动,没有影响,不攻击（不会互相指责或伤害）,无所谓,比较能接受,两个人都不怎么迟到,比较不相似,一般相似,无所谓,无所谓,比较能忍受,无所谓,几乎不提,很少提,基本是对方,经常有压力,比较自卑,完全不依赖,完全不依赖,每天,比较不理解,一般情况,紧张,隔段时间回,秒回,一般情况,非常没有安全感
较高,一年内,言语交流,每周,害羞紧张,经常表达,一般程度表达,较高,极高,比较模糊,每周,文字聊天,几个小时,我主动,促进感情和理解,不攻击（不会互相指责或伤害）,比较能接受,比较不能接受,两个人都不怎么迟到,比较不相似,比较不相似,比较能接受,比较能接受,比较能忍受,比较能忍受,几乎不提,几乎不提,共同商议决定,偶尔有压力,比较自卑,一般情况,比较不依赖,每周,一般情况,一般情况,紧张,隔段时间回,隔段时间回,比较满意,比较没有安全感
